TIME,GEO,WW_TPAR,WW_TP,UNIT,Value,Flag and Footnotes
2000,Campania,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Campania,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Puglia,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Puglia,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Puglia,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Basilicata,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Basilicata,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Basilicata,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Calabria,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Calabria,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Calabria,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Sicilia,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Sicilia,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Sicilia,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Sardegna,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Sardegna,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Sardegna,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Cyprus,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,1,
2000,Cyprus,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,98,
2000,Cyprus,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,51,
2000,Kypros,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,1,
2000,Kypros,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,98,
2000,Kypros,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,51,
2000,Latvia,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,564,
2000,Latvia,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,709,
2000,Latvia,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,12,
2000,Latvija,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,564,
2000,Latvija,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,709,
2000,Latvija,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,12,
2000,Lithuania,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Lithuania,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Lithuania,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Luxembourg,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Luxembourg,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Luxembourg,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Hungary,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Hungary,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Hungary,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
