"TIME","GEO","UNIT","WW_TP","Value","Flag and Footnotes"
"2010","Niederösterreich","Thousand","Urban wastewater collecting system",":",""
"2010","Wien","Thousand","Urban wastewater collecting system",":",""
"2010","Kärnten","Thousand","Urban wastewater collecting system",":",""
"2010","Steiermark","Thousand","Urban wastewater collecting system",":",""
"2010","Oberösterreich","Thousand","Urban wastewater collecting system",":",""
"2010","Salzburg","Thousand","Urban wastewater collecting system",":",""
"2010","Tirol","Thousand","Urban wastewater collecting system",":",""
"2010","Vorarlberg","Thousand","Urban wastewater collecting system",":",""
"2010","Poland","Thousand","Urban wastewater collecting system",":",""
"2010","Lódzkie (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Mazowieckie (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Malopolskie","Thousand","Urban wastewater collecting system",":",""
"2010","Slaskie","Thousand","Urban wastewater collecting system",":",""
"2010","Lubelskie (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Podkarpackie (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Swietokrzyskie (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Podlaskie (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Wielkopolskie","Thousand","Urban wastewater collecting system",":",""
